age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time
1.0000,1.0000,1.0000,4.0000,0.7143,1.0000,0.8333,5.0000,0.5000,0.5000,0.5000,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,1.0000,9.0000,0.9231,1.0000,0.9600,12.0000,0.9750,0.9750,0.9750,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.5000,0.6667,4.0000,1.0000,0.5000,0.6667,2.0000,0.9541,0.9193,0.8614,0.8729,109.0000,0.9601,0.9541,0.9513,109.0000,109,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run1,37.5585
1.0000,1.0000,1.0000,4.0000,0.7143,1.0000,0.8333,5.0000,0.5000,0.5000,0.5000,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,1.0000,9.0000,0.9231,1.0000,0.9600,12.0000,0.9750,0.9750,0.9750,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.5000,0.6667,4.0000,1.0000,0.5000,0.6667,2.0000,0.9541,0.9193,0.8614,0.8729,109.0000,0.9601,0.9541,0.9513,109.0000,109,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run2,37.7681
1.0000,1.0000,1.0000,4.0000,0.6250,1.0000,0.7692,5.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,1.0000,9.0000,0.9231,1.0000,0.9600,12.0000,0.9750,0.9750,0.9750,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.5000,0.6667,4.0000,1.0000,0.5000,0.6667,2.0000,0.9541,0.9566,0.8614,0.8822,109.0000,0.9652,0.9541,0.9514,109.0000,109,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run3,37.9529
1.0000,1.0000,1.0000,4.0000,0.8333,1.0000,0.9091,5.0000,0.5000,0.5000,0.5000,2.0000,1.0000,1.0000,1.0000,25.0000,0.8000,1.0000,0.8889,4.0000,1.0000,1.0000,1.0000,9.0000,0.9231,1.0000,0.9600,12.0000,0.9750,0.9750,0.9750,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.5000,0.6667,4.0000,1.0000,0.5000,0.6667,2.0000,0.9541,0.9119,0.8614,0.8697,109.0000,0.9582,0.9541,0.9507,109.0000,109,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run4,37.5399
1.0000,1.0000,1.0000,4.0000,0.8333,1.0000,0.9091,5.0000,0.5000,0.5000,0.5000,2.0000,1.0000,1.0000,1.0000,25.0000,0.8000,1.0000,0.8889,4.0000,1.0000,1.0000,1.0000,9.0000,0.9231,1.0000,0.9600,12.0000,0.9750,0.9750,0.9750,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.5000,0.6667,4.0000,1.0000,0.5000,0.6667,2.0000,0.9541,0.9119,0.8614,0.8697,109.0000,0.9582,0.9541,0.9507,109.0000,109,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run5,37.7571
1.0000,1.0000,1.0000,4.0000,0.6250,1.0000,0.7692,5.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,1.0000,9.0000,0.9231,1.0000,0.9600,12.0000,0.9750,0.9750,0.9750,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.5000,0.6667,4.0000,1.0000,0.5000,0.6667,2.0000,0.9541,0.9566,0.8614,0.8822,109.0000,0.9652,0.9541,0.9514,109.0000,109,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run6,38.2973
1.0000,1.0000,1.0000,4.0000,0.6250,1.0000,0.7692,5.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,1.0000,9.0000,0.9231,1.0000,0.9600,12.0000,0.9750,0.9750,0.9750,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.5000,0.6667,4.0000,1.0000,0.5000,0.6667,2.0000,0.9541,0.9566,0.8614,0.8822,109.0000,0.9652,0.9541,0.9514,109.0000,109,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run7,39.5803
1.0000,1.0000,1.0000,4.0000,0.8333,1.0000,0.9091,5.0000,0.5000,0.5000,0.5000,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,1.0000,9.0000,0.9231,1.0000,0.9600,12.0000,0.9512,0.9750,0.9630,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.5000,0.6667,4.0000,1.0000,0.5000,0.6667,2.0000,0.9541,0.9280,0.8614,0.8787,109.0000,0.9568,0.9541,0.9503,109.0000,109,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run8,37.8952
1.0000,1.0000,1.0000,4.0000,0.5556,1.0000,0.7143,5.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,1.0000,9.0000,0.9231,1.0000,0.9600,12.0000,0.9750,0.9750,0.9750,40.0000,1.0000,0.5000,0.6667,2.0000,1.0000,0.5000,0.6667,4.0000,1.0000,0.5000,0.6667,2.0000,0.9450,0.9503,0.8159,0.8469,109.0000,0.9620,0.9450,0.9427,109.0000,109,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run9,38.2251
1.0000,1.0000,1.0000,4.0000,0.6250,1.0000,0.7692,5.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,1.0000,9.0000,0.9231,1.0000,0.9600,12.0000,0.9750,0.9750,0.9750,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.5000,0.6667,4.0000,1.0000,0.5000,0.6667,2.0000,0.9541,0.9566,0.8614,0.8822,109.0000,0.9652,0.9541,0.9514,109.0000,109,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run10,38.1045
