age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time
0.6667,1.0000,0.8000,4.0000,0.4000,0.4000,0.4000,5.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,1.0000,9.0000,0.9231,1.0000,0.9600,12.0000,0.9429,0.8250,0.8800,40.0000,1.0000,1.0000,1.0000,2.0000,0.4000,0.5000,0.4444,4.0000,0.5000,1.0000,0.6667,2.0000,0.8807,0.8030,0.8386,0.8016,109.0000,0.8996,0.8807,0.8841,109.0000,109,custom-data-llama-llama_run1,115.4827
0.6000,0.7500,0.6667,4.0000,0.1905,0.8000,0.3077,5.0000,0.0000,0.0000,0.0000,2.0000,0.9615,1.0000,0.9804,25.0000,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,1.0000,9.0000,0.8571,1.0000,0.9231,12.0000,0.9565,0.5500,0.6984,40.0000,0.5000,1.0000,0.6667,2.0000,0.0000,0.0000,0.0000,4.0000,0.6667,1.0000,0.8000,2.0000,0.7615,0.6120,0.7364,0.6403,109.0000,0.8373,0.7615,0.7675,109.0000,109,custom-data-llama-llama_run1,105.3065
1.0000,1.0000,1.0000,4.0000,0.4000,0.8000,0.5333,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,0.8000,1.0000,0.8889,4.0000,0.9000,1.0000,0.9474,9.0000,0.8571,1.0000,0.9231,12.0000,0.9394,0.7750,0.8493,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,0.4000,1.0000,0.5714,2.0000,0.8624,0.7542,0.8023,0.7376,109.0000,0.8896,0.8624,0.8582,109.0000,109,custom-data-llama-llama_run2,83.9310
0.8000,1.0000,0.8889,4.0000,0.5000,0.6000,0.5455,5.0000,0.0000,0.0000,0.0000,2.0000,0.9259,1.0000,0.9615,25.0000,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,1.0000,9.0000,0.9231,1.0000,0.9600,12.0000,0.9143,0.8000,0.8533,40.0000,0.5000,1.0000,0.6667,2.0000,0.3333,0.2500,0.2857,4.0000,0.6667,1.0000,0.8000,2.0000,0.8624,0.6876,0.7864,0.7238,109.0000,0.8547,0.8624,0.8537,109.0000,109,custom-data-llama-llama_run3,104.0320
0.5714,1.0000,0.7273,4.0000,0.4286,0.6000,0.5000,5.0000,0.0000,0.0000,0.0000,2.0000,0.9615,1.0000,0.9804,25.0000,1.0000,1.0000,1.0000,4.0000,0.9000,1.0000,0.9474,9.0000,0.8462,0.9167,0.8800,12.0000,0.9310,0.6750,0.7826,40.0000,1.0000,1.0000,1.0000,2.0000,0.1429,0.2500,0.1818,4.0000,0.6667,1.0000,0.8000,2.0000,0.8073,0.6771,0.7674,0.7090,109.0000,0.8428,0.8073,0.8132,109.0000,109,custom-data-llama-llama_run4,119.2273
0.6667,1.0000,0.8000,4.0000,0.5000,0.6000,0.5455,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,0.8182,1.0000,0.9000,9.0000,0.8462,0.9167,0.8800,12.0000,0.9394,0.7750,0.8493,40.0000,0.5000,1.0000,0.6667,2.0000,0.6667,0.5000,0.5714,4.0000,0.5000,1.0000,0.6667,2.0000,0.8532,0.6761,0.7992,0.7163,109.0000,0.8617,0.8532,0.8487,109.0000,109,custom-data-llama-llama_run5,108.4070
0.6000,0.7500,0.6667,4.0000,0.7500,0.6000,0.6667,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,0.8000,1.0000,0.8889,4.0000,1.0000,0.8889,0.9412,9.0000,0.9167,0.9167,0.9167,12.0000,0.9167,0.8250,0.8684,40.0000,0.5000,1.0000,0.6667,2.0000,0.1667,0.2500,0.2000,4.0000,0.6667,1.0000,0.8000,2.0000,0.8440,0.6652,0.7482,0.6923,109.0000,0.8625,0.8440,0.8486,109.0000,109,custom-data-llama-llama_run6,102.9163
0.8000,1.0000,0.8889,4.0000,0.3333,0.8000,0.4706,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,0.8000,1.0000,0.8889,4.0000,1.0000,1.0000,1.0000,9.0000,0.8571,1.0000,0.9231,12.0000,0.9310,0.6750,0.7826,40.0000,0.6667,1.0000,0.8000,2.0000,0.2500,0.2500,0.2500,4.0000,0.5000,0.5000,0.5000,2.0000,0.8165,0.6489,0.7477,0.6822,109.0000,0.8525,0.8165,0.8206,109.0000,109,custom-data-llama-llama_run7,110.1196
0.6000,0.7500,0.6667,4.0000,0.4167,1.0000,0.5882,5.0000,0.5000,0.5000,0.5000,2.0000,1.0000,1.0000,1.0000,25.0000,0.6667,1.0000,0.8000,4.0000,0.9000,1.0000,0.9474,9.0000,0.9231,1.0000,0.9600,12.0000,1.0000,0.7250,0.8406,40.0000,0.6667,1.0000,0.8000,2.0000,1.0000,0.2500,0.4000,4.0000,0.6667,1.0000,0.8000,2.0000,0.8532,0.7582,0.8386,0.7548,109.0000,0.9082,0.8532,0.8558,109.0000,109,custom-data-llama-llama_run8,107.6870
0.6667,1.0000,0.8000,4.0000,0.5000,0.6000,0.5455,5.0000,0.0000,0.0000,0.0000,2.0000,0.9615,1.0000,0.9804,25.0000,1.0000,1.0000,1.0000,4.0000,0.8889,0.8889,0.8889,9.0000,0.8000,1.0000,0.8889,12.0000,0.8649,0.8000,0.8312,40.0000,0.6667,1.0000,0.8000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,1.0000,1.0000,2.0000,0.8532,0.7590,0.7763,0.7395,109.0000,0.8508,0.8532,0.8399,109.0000,109,custom-data-llama-llama_run9,99.6966
