age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time,Matching accuracy
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.4000,0.5714,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,12.0000,0.4040,1.0000,0.5755,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.4587,0.1276,0.1273,0.1043,109.0000,0.3776,0.4587,0.3423,109.0000,109,llama-label-generation-chain-thoughts-llama_run1,172.7318,0.46
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.4400,0.6111,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,12.0000,0.4082,1.0000,0.5797,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.4679,0.1280,0.1309,0.1083,109.0000,0.3791,0.4679,0.3529,109.0000,109,llama-label-generation-chain-thoughts-llama_run2,167.1167,0.47
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.4400,0.6111,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,12.0000,0.4082,1.0000,0.5797,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.4679,0.1280,0.1309,0.1083,109.0000,0.3791,0.4679,0.3529,109.0000,109,llama-label-generation-chain-thoughts-llama_run3,167.1939,0.47
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.4400,0.6111,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,12.0000,0.4082,1.0000,0.5797,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.4679,0.1280,0.1309,0.1083,109.0000,0.3791,0.4679,0.3529,109.0000,109,llama-label-generation-chain-thoughts-llama_run4,166.7580,0.47
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.4400,0.6111,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,12.0000,0.4082,1.0000,0.5797,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.4679,0.1280,0.1309,0.1083,109.0000,0.3791,0.4679,0.3529,109.0000,109,llama-label-generation-chain-thoughts-llama_run5,166.9425,0.47
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.4400,0.6111,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,12.0000,0.4082,1.0000,0.5797,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.4679,0.1280,0.1309,0.1083,109.0000,0.3791,0.4679,0.3529,109.0000,109,llama-label-generation-chain-thoughts-llama_run6,166.4726,0.47
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.4400,0.6111,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,12.0000,0.4082,1.0000,0.5797,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.4679,0.1280,0.1309,0.1083,109.0000,0.3791,0.4679,0.3529,109.0000,109,llama-label-generation-chain-thoughts-llama_run7,167.4591,0.47
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.4400,0.6111,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,12.0000,0.4082,1.0000,0.5797,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.4679,0.1280,0.1309,0.1083,109.0000,0.3791,0.4679,0.3529,109.0000,109,llama-label-generation-chain-thoughts-llama_run8,166.7879,0.47
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.4400,0.6111,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,12.0000,0.4082,1.0000,0.5797,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.4679,0.1280,0.1309,0.1083,109.0000,0.3791,0.4679,0.3529,109.0000,109,llama-label-generation-chain-thoughts-llama_run9,166.8949,0.47
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.4400,0.6111,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,12.0000,0.4082,1.0000,0.5797,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.4679,0.1280,0.1309,0.1083,109.0000,0.3791,0.4679,0.3529,109.0000,109,llama-label-generation-chain-thoughts-llama_run10,167.4438,0.47
