age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time,Matching accuracy
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.8065,1.0000,0.8929,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,1.0000,0.9167,0.9565,12.0000,0.5672,0.9500,0.7103,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.6789,0.2158,0.2606,0.2327,109.0000,0.5032,0.6789,0.5707,109.0000,109,llama-label-generation-few-shot-llama_run1,170.0067,0.68
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.7812,1.0000,0.8772,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,1.0000,0.9167,0.9565,12.0000,0.5758,0.9500,0.7170,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.6789,0.2143,0.2606,0.2319,109.0000,0.5006,0.6789,0.5696,109.0000,109,llama-label-generation-few-shot-llama_run2,165.4795,0.68
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.7812,1.0000,0.8772,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,1.0000,0.9167,0.9565,12.0000,0.5758,0.9500,0.7170,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.6789,0.2143,0.2606,0.2319,109.0000,0.5006,0.6789,0.5696,109.0000,109,llama-label-generation-few-shot-llama_run3,162.5631,0.68
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.7812,1.0000,0.8772,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,1.0000,0.9167,0.9565,12.0000,0.5758,0.9500,0.7170,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.6789,0.2143,0.2606,0.2319,109.0000,0.5006,0.6789,0.5696,109.0000,109,llama-label-generation-few-shot-llama_run4,163.2596,0.68
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.7812,1.0000,0.8772,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,1.0000,0.9167,0.9565,12.0000,0.5758,0.9500,0.7170,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.6789,0.2143,0.2606,0.2319,109.0000,0.5006,0.6789,0.5696,109.0000,109,llama-label-generation-few-shot-llama_run5,163.8383,0.68
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.7812,1.0000,0.8772,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,1.0000,0.9167,0.9565,12.0000,0.5758,0.9500,0.7170,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.6789,0.2143,0.2606,0.2319,109.0000,0.5006,0.6789,0.5696,109.0000,109,llama-label-generation-few-shot-llama_run6,163.5961,0.68
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.7812,1.0000,0.8772,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,1.0000,0.9167,0.9565,12.0000,0.5758,0.9500,0.7170,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.6789,0.2143,0.2606,0.2319,109.0000,0.5006,0.6789,0.5696,109.0000,109,llama-label-generation-few-shot-llama_run7,161.5496,0.68
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.7812,1.0000,0.8772,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,1.0000,0.9167,0.9565,12.0000,0.5758,0.9500,0.7170,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.6789,0.2143,0.2606,0.2319,109.0000,0.5006,0.6789,0.5696,109.0000,109,llama-label-generation-few-shot-llama_run8,163.2602,0.68
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.7812,1.0000,0.8772,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,1.0000,0.9167,0.9565,12.0000,0.5758,0.9500,0.7170,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.6789,0.2143,0.2606,0.2319,109.0000,0.5006,0.6789,0.5696,109.0000,109,llama-label-generation-few-shot-llama_run9,165.1053,0.68
0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.7812,1.0000,0.8772,25.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,9.0000,1.0000,0.9167,0.9565,12.0000,0.5758,0.9500,0.7170,40.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.6789,0.2143,0.2606,0.2319,109.0000,0.5006,0.6789,0.5696,109.0000,109,llama-label-generation-few-shot-llama_run10,163.2775,0.68
