age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time
0.3333,0.2500,0.2857,4.0000,0.5000,0.2000,0.2857,5.0000,0.0000,0.0000,0.0000,2.0000,0.7576,1.0000,0.8621,25.0000,1.0000,1.0000,1.0000,4.0000,0.4706,0.8889,0.6154,9.0000,0.8462,0.9167,0.8800,12.0000,0.8276,0.6000,0.6957,40.0000,1.0000,1.0000,1.0000,2.0000,0.2500,0.2500,0.2500,4.0000,1.0000,1.0000,1.0000,2.0000,0.7248,0.6350,0.6460,0.6250,109.0000,0.7272,0.7248,0.7069,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run1-chain-thoughts,31.3410
0.3333,0.2500,0.2857,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.7576,1.0000,0.8621,25.0000,1.0000,1.0000,1.0000,4.0000,0.4211,0.8889,0.5714,9.0000,0.9167,0.9167,0.9167,12.0000,0.7576,0.6250,0.6849,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,0.5000,0.6667,2.0000,0.7156,0.6533,0.5846,0.5807,109.0000,0.7098,0.7156,0.6896,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run2-chain-thoughts,37.3366
0.5000,0.2500,0.3333,4.0000,0.6667,0.4000,0.5000,5.0000,0.0000,0.0000,0.0000,2.0000,0.6944,1.0000,0.8197,25.0000,1.0000,1.0000,1.0000,4.0000,0.4444,0.8889,0.5926,9.0000,0.8462,0.9167,0.8800,12.0000,0.8571,0.6000,0.7059,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,1.0000,1.0000,2.0000,0.7339,0.7281,0.6641,0.6574,109.0000,0.7627,0.7339,0.7161,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run3-chain-thoughts,31.6832
0.3750,0.7500,0.5000,4.0000,0.5000,0.4000,0.4444,5.0000,0.0000,0.0000,0.0000,2.0000,0.7353,1.0000,0.8475,25.0000,1.0000,1.0000,1.0000,4.0000,0.5714,0.8889,0.6957,9.0000,0.9167,0.9167,0.9167,12.0000,0.8571,0.6000,0.7059,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,1.0000,1.0000,2.0000,0.7523,0.7232,0.7096,0.6827,109.0000,0.7781,0.7523,0.7386,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run4-chain-thoughts,28.5227
0.3333,0.2500,0.2857,4.0000,0.5000,0.2000,0.2857,5.0000,0.0000,0.0000,0.0000,2.0000,0.7576,1.0000,0.8621,25.0000,1.0000,1.0000,1.0000,4.0000,0.5333,0.8889,0.6667,9.0000,0.8571,1.0000,0.9231,12.0000,0.8125,0.6500,0.7222,40.0000,1.0000,1.0000,1.0000,2.0000,0.5000,0.2500,0.3333,4.0000,1.0000,1.0000,1.0000,2.0000,0.7523,0.6631,0.6581,0.6435,109.0000,0.7372,0.7523,0.7286,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run5-chain-thoughts,35.7270
0.5000,0.2500,0.3333,4.0000,0.5000,0.4000,0.4444,5.0000,0.0000,0.0000,0.0000,2.0000,0.6250,1.0000,0.7692,25.0000,1.0000,1.0000,1.0000,4.0000,0.4211,0.8889,0.5714,9.0000,0.8462,0.9167,0.8800,12.0000,0.9565,0.5500,0.6984,40.0000,1.0000,1.0000,1.0000,2.0000,0.0000,0.0000,0.0000,4.0000,1.0000,1.0000,1.0000,2.0000,0.7064,0.6226,0.6369,0.6088,109.0000,0.7370,0.7064,0.6828,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run6-chain-thoughts,31.0181
0.3333,0.2500,0.2857,4.0000,0.5000,0.2000,0.2857,5.0000,0.0000,0.0000,0.0000,2.0000,0.7143,1.0000,0.8333,25.0000,0.8000,1.0000,0.8889,4.0000,0.4706,0.8889,0.6154,9.0000,0.8462,0.9167,0.8800,12.0000,0.7857,0.5500,0.6471,40.0000,1.0000,1.0000,1.0000,2.0000,0.3333,0.2500,0.2857,4.0000,1.0000,0.5000,0.6667,2.0000,0.6972,0.6167,0.5960,0.5808,109.0000,0.6976,0.6972,0.6736,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run7-chain-thoughts,32.6107
0.6000,0.7500,0.6667,4.0000,0.5000,0.2000,0.2857,5.0000,0.0000,0.0000,0.0000,2.0000,0.6579,1.0000,0.7937,25.0000,1.0000,1.0000,1.0000,4.0000,0.5714,0.8889,0.6957,9.0000,0.9167,0.9167,0.9167,12.0000,0.8276,0.6000,0.6957,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,1.0000,1.0000,2.0000,0.7431,0.7340,0.6914,0.6776,109.0000,0.7577,0.7431,0.7213,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run8-chain-thoughts,28.2817
0.5000,0.2500,0.3333,4.0000,0.5000,0.2000,0.2857,5.0000,0.0000,0.0000,0.0000,2.0000,0.6579,1.0000,0.7937,25.0000,1.0000,1.0000,1.0000,4.0000,0.4211,0.8889,0.5714,9.0000,0.9167,0.9167,0.9167,12.0000,0.8462,0.5500,0.6667,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,1.0000,1.0000,2.0000,0.7064,0.7129,0.6414,0.6334,109.0000,0.7485,0.7064,0.6882,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run9-chain-thoughts,29.5880
0.3333,0.2500,0.2857,4.0000,0.5000,0.2000,0.2857,5.0000,0.0000,0.0000,0.0000,2.0000,0.7576,1.0000,0.8621,25.0000,0.8000,1.0000,0.8889,4.0000,0.4211,0.8889,0.5714,9.0000,0.8571,1.0000,0.9231,12.0000,0.8214,0.5750,0.6765,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,1.0000,1.0000,2.0000,0.7248,0.6810,0.6513,0.6267,109.0000,0.7422,0.7248,0.7024,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run10-chain-thoughts,35.9006
