age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time
1.0000,0.5000,0.6667,4.0000,0.5000,0.4000,0.4444,5.0000,1.0000,0.5000,0.6667,2.0000,0.7812,1.0000,0.8772,25.0000,0.5714,1.0000,0.7273,4.0000,0.8182,1.0000,0.9000,9.0000,0.9091,0.8333,0.8696,12.0000,0.8788,0.7250,0.7945,40.0000,1.0000,1.0000,1.0000,2.0000,0.3333,0.2500,0.2857,4.0000,0.6667,1.0000,0.8000,2.0000,0.7982,0.7690,0.7462,0.7302,109.0000,0.8111,0.7982,0.7901,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run1-few-shot,30.7420
0.7500,0.7500,0.7500,4.0000,0.6667,0.4000,0.5000,5.0000,1.0000,0.5000,0.6667,2.0000,0.7576,1.0000,0.8621,25.0000,1.0000,1.0000,1.0000,4.0000,0.6923,1.0000,0.8182,9.0000,0.9167,0.9167,0.9167,12.0000,0.8529,0.7250,0.7838,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,1.0000,1.0000,2.0000,0.8165,0.8760,0.7765,0.7907,109.0000,0.8314,0.8165,0.8046,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run2-few-shot,31.0871
0.7500,0.7500,0.7500,4.0000,0.5000,0.2000,0.2857,5.0000,0.0000,0.0000,0.0000,2.0000,0.9259,1.0000,0.9615,25.0000,0.5714,1.0000,0.7273,4.0000,0.7500,1.0000,0.8571,9.0000,0.8462,0.9167,0.8800,12.0000,0.8529,0.7250,0.7838,40.0000,1.0000,1.0000,1.0000,2.0000,0.1667,0.2500,0.2000,4.0000,1.0000,1.0000,1.0000,2.0000,0.7982,0.6694,0.7129,0.6769,109.0000,0.7947,0.7982,0.7872,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run3-few-shot,30.0393
1.0000,0.7500,0.8571,4.0000,0.5000,0.2000,0.2857,5.0000,1.0000,0.5000,0.6667,2.0000,0.7143,1.0000,0.8333,25.0000,1.0000,1.0000,1.0000,4.0000,0.8182,1.0000,0.9000,9.0000,0.9167,0.9167,0.9167,12.0000,0.8286,0.7250,0.7733,40.0000,1.0000,1.0000,1.0000,2.0000,0.5000,0.2500,0.3333,4.0000,1.0000,1.0000,1.0000,2.0000,0.8073,0.8434,0.7583,0.7787,109.0000,0.8061,0.8073,0.7926,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run4-few-shot,30.5253
0.7500,0.7500,0.7500,4.0000,0.5000,0.2000,0.2857,5.0000,1.0000,0.5000,0.6667,2.0000,0.8333,1.0000,0.9091,25.0000,0.4000,1.0000,0.5714,4.0000,0.8182,1.0000,0.9000,9.0000,0.9167,0.9167,0.9167,12.0000,0.8438,0.6750,0.7500,40.0000,1.0000,1.0000,1.0000,2.0000,0.3333,0.2500,0.2857,4.0000,1.0000,1.0000,1.0000,2.0000,0.7890,0.7632,0.7538,0.7305,109.0000,0.8017,0.7890,0.7800,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run5-few-shot,30.0439
1.0000,0.7500,0.8571,4.0000,0.5000,0.2000,0.2857,5.0000,1.0000,0.5000,0.6667,2.0000,0.9259,1.0000,0.9615,25.0000,0.5000,1.0000,0.6667,4.0000,0.7500,1.0000,0.8571,9.0000,0.9091,0.8333,0.8696,12.0000,0.8529,0.7250,0.7838,40.0000,1.0000,1.0000,1.0000,2.0000,0.1429,0.2500,0.1818,4.0000,1.0000,1.0000,1.0000,2.0000,0.7982,0.7801,0.7508,0.7391,109.0000,0.8257,0.7982,0.7993,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run6-few-shot,30.5474
1.0000,0.7500,0.8571,4.0000,0.6667,0.4000,0.5000,5.0000,0.0000,0.0000,0.0000,2.0000,0.8929,1.0000,0.9434,25.0000,0.5000,1.0000,0.6667,4.0000,0.8182,1.0000,0.9000,9.0000,0.9167,0.9167,0.9167,12.0000,0.8857,0.7750,0.8267,40.0000,1.0000,1.0000,1.0000,2.0000,0.2000,0.2500,0.2222,4.0000,1.0000,1.0000,1.0000,2.0000,0.8257,0.7164,0.7356,0.7121,109.0000,0.8280,0.8257,0.8187,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run7-few-shot,30.9341
0.7500,0.7500,0.7500,4.0000,0.6667,0.4000,0.5000,5.0000,1.0000,0.5000,0.6667,2.0000,0.8333,1.0000,0.9091,25.0000,0.3333,1.0000,0.5000,4.0000,0.7500,1.0000,0.8571,9.0000,1.0000,0.8333,0.9091,12.0000,0.8929,0.6250,0.7353,40.0000,1.0000,1.0000,1.0000,2.0000,0.2500,0.2500,0.2500,4.0000,0.6667,1.0000,0.8000,2.0000,0.7706,0.7403,0.7598,0.7161,109.0000,0.8192,0.7706,0.7724,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run8-few-shot,30.0047
1.0000,0.7500,0.8571,4.0000,0.6667,0.4000,0.5000,5.0000,1.0000,0.5000,0.6667,2.0000,0.8621,1.0000,0.9259,25.0000,0.4000,1.0000,0.5714,4.0000,0.8182,1.0000,0.9000,9.0000,0.9167,0.9167,0.9167,12.0000,0.8966,0.6500,0.7536,40.0000,1.0000,1.0000,1.0000,2.0000,0.1667,0.2500,0.2000,4.0000,0.6667,1.0000,0.8000,2.0000,0.7890,0.7630,0.7697,0.7356,109.0000,0.8322,0.7890,0.7921,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run9-few-shot,30.1485
1.0000,0.7500,0.8571,4.0000,0.5000,0.2000,0.2857,5.0000,0.5000,0.5000,0.5000,2.0000,0.8621,1.0000,0.9259,25.0000,0.3636,1.0000,0.5333,4.0000,1.0000,1.0000,1.0000,9.0000,0.9167,0.9167,0.9167,12.0000,0.8438,0.6750,0.7500,40.0000,1.0000,1.0000,1.0000,2.0000,0.2500,0.2500,0.2500,4.0000,0.6667,1.0000,0.8000,2.0000,0.7890,0.7184,0.7538,0.7108,109.0000,0.8127,0.7890,0.7866,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run10-few-shot,30.7388
