age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time
0.5000,1.0000,0.6667,4.0000,0.3333,0.4000,0.3636,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.9600,0.9796,25.0000,0.8000,1.0000,0.8889,4.0000,0.7778,0.7778,0.7778,9.0000,0.9167,0.9167,0.9167,12.0000,0.8421,0.8000,0.8205,40.0000,1.0000,1.0000,1.0000,2.0000,0.6667,0.5000,0.5714,4.0000,1.0000,1.0000,1.0000,2.0000,0.8257,0.7124,0.7595,0.7259,109.0000,0.8277,0.8257,0.8224,109.0000,109,custom-data-llama-llama_run1-chain-thoughts,262.8429
0.6000,0.7500,0.6667,4.0000,0.3333,0.8000,0.4706,5.0000,0.0000,0.0000,0.0000,2.0000,0.9583,0.9200,0.9388,25.0000,0.8000,1.0000,0.8889,4.0000,0.8000,0.8889,0.8421,9.0000,0.8571,1.0000,0.9231,12.0000,0.9643,0.6750,0.7941,40.0000,1.0000,1.0000,1.0000,2.0000,0.4000,0.5000,0.4444,4.0000,0.6667,1.0000,0.8000,2.0000,0.7982,0.6709,0.7758,0.7062,109.0000,0.8460,0.7982,0.8059,109.0000,109,custom-data-llama-llama_run2-chain-thoughts,256.9647
0.5714,1.0000,0.7273,4.0000,0.4286,0.6000,0.5000,5.0000,0.0000,0.0000,0.0000,2.0000,0.9545,0.8400,0.8936,25.0000,0.8000,1.0000,0.8889,4.0000,0.7500,0.6667,0.7059,9.0000,0.9167,0.9167,0.9167,12.0000,0.9091,0.7500,0.8219,40.0000,1.0000,1.0000,1.0000,2.0000,0.3000,0.7500,0.4286,4.0000,0.6667,1.0000,0.8000,2.0000,0.7890,0.6634,0.7748,0.6984,109.0000,0.8270,0.7890,0.7968,109.0000,109,custom-data-llama-llama_run3-chain-thoughts,279.7584
0.6000,0.7500,0.6667,4.0000,0.3000,0.6000,0.4000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.9600,0.9796,25.0000,0.7500,0.7500,0.7500,4.0000,0.9000,1.0000,0.9474,9.0000,0.9000,0.7500,0.8182,12.0000,0.8788,0.7250,0.7945,40.0000,1.0000,1.0000,1.0000,2.0000,0.1429,0.2500,0.1818,4.0000,0.6667,1.0000,0.8000,2.0000,0.7798,0.6489,0.7077,0.6671,109.0000,0.8244,0.7798,0.7946,109.0000,109,custom-data-llama-llama_run4-chain-thoughts,265.3457
0.5714,1.0000,0.7273,4.0000,0.3333,0.6000,0.4286,5.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.8800,0.9362,25.0000,0.8000,1.0000,0.8889,4.0000,0.8889,0.8889,0.8889,9.0000,1.0000,0.7500,0.8571,12.0000,0.8500,0.8500,0.8500,40.0000,1.0000,0.5000,0.6667,2.0000,0.0000,0.0000,0.0000,4.0000,0.6667,1.0000,0.8000,2.0000,0.8165,0.7373,0.7699,0.7312,109.0000,0.8393,0.8165,0.8186,109.0000,109,custom-data-llama-llama_run5-chain-thoughts,268.4200
0.4000,0.5000,0.4444,4.0000,0.2857,0.4000,0.3333,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.8000,0.8889,25.0000,1.0000,1.0000,1.0000,4.0000,0.7500,1.0000,0.8571,9.0000,0.8000,0.6667,0.7273,12.0000,0.7692,0.7500,0.7595,40.0000,1.0000,1.0000,1.0000,2.0000,0.4000,0.5000,0.4444,4.0000,0.5000,1.0000,0.6667,2.0000,0.7431,0.6277,0.6924,0.6474,109.0000,0.7683,0.7431,0.7486,109.0000,109,custom-data-llama-llama_run6-chain-thoughts,272.8471
0.5714,1.0000,0.7273,4.0000,0.1111,0.2000,0.1429,5.0000,0.5000,0.5000,0.5000,2.0000,0.9545,0.8400,0.8936,25.0000,1.0000,0.7500,0.8571,4.0000,0.7273,0.8889,0.8000,9.0000,0.9000,0.7500,0.8182,12.0000,0.8333,0.7500,0.7895,40.0000,0.6667,1.0000,0.8000,2.0000,0.5000,0.2500,0.3333,4.0000,0.2500,0.5000,0.3333,2.0000,0.7431,0.6377,0.6754,0.6359,109.0000,0.7910,0.7431,0.7577,109.0000,109,custom-data-llama-llama_run7-chain-thoughts,262.2381
0.5000,1.0000,0.6667,4.0000,0.3000,0.6000,0.4000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.9600,0.9796,25.0000,1.0000,0.7500,0.8571,4.0000,0.8182,1.0000,0.9000,9.0000,0.8333,0.8333,0.8333,12.0000,0.8696,0.5000,0.6349,40.0000,1.0000,0.5000,0.6667,2.0000,0.1429,0.5000,0.2222,4.0000,0.6667,1.0000,0.8000,2.0000,0.7156,0.6482,0.6948,0.6328,109.0000,0.8124,0.7156,0.7331,109.0000,109,custom-data-llama-llama_run8-chain-thoughts,266.2858
0.8000,1.0000,0.8889,4.0000,0.1905,0.8000,0.3077,5.0000,1.0000,0.5000,0.6667,2.0000,1.0000,0.9200,0.9583,25.0000,1.0000,0.7500,0.8571,4.0000,0.6364,0.7778,0.7000,9.0000,0.8571,0.5000,0.6316,12.0000,0.8276,0.6000,0.6957,40.0000,1.0000,1.0000,1.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.3333,0.5000,0.4000,2.0000,0.6881,0.6950,0.6680,0.6460,109.0000,0.7976,0.6881,0.7185,109.0000,109,custom-data-llama-llama_run9-chain-thoughts,297.4523
0.8000,1.0000,0.8889,4.0000,0.0588,0.2000,0.0909,5.0000,1.0000,0.5000,0.6667,2.0000,1.0000,0.9200,0.9583,25.0000,1.0000,0.7500,0.8571,4.0000,0.7778,0.7778,0.7778,9.0000,0.9091,0.8333,0.8696,12.0000,1.0000,0.4500,0.6207,40.0000,1.0000,1.0000,1.0000,2.0000,0.1111,0.5000,0.1818,4.0000,1.0000,1.0000,1.0000,2.0000,0.6697,0.7870,0.7210,0.7193,109.0000,0.8885,0.6697,0.7314,109.0000,109,custom-data-llama-llama_run10-chain-thoughts,265.7878
