age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time
1.0000,1.0000,1.0000,4.0000,0.3077,0.8000,0.4444,5.0000,0.5000,0.5000,0.5000,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,0.8333,0.5556,0.6667,9.0000,0.9167,0.9167,0.9167,12.0000,0.8684,0.8250,0.8462,40.0000,1.0000,1.0000,1.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.6667,1.0000,0.8000,2.0000,0.8349,0.7357,0.7816,0.7431,109.0000,0.8450,0.8349,0.8318,109.0000,109,custom-data-llama-llama_run1-few-shot,71.5076
0.8000,1.0000,0.8889,4.0000,0.3571,1.0000,0.5263,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,0.8000,1.0000,0.8889,4.0000,0.7778,0.7778,0.7778,9.0000,0.8462,0.9167,0.8800,12.0000,1.0000,0.7250,0.8406,40.0000,0.6667,1.0000,0.8000,2.0000,1.0000,0.2500,0.4000,4.0000,0.6667,1.0000,0.8000,2.0000,0.8257,0.7195,0.7881,0.7093,109.0000,0.8900,0.8257,0.8323,109.0000,109,custom-data-llama-llama_run2-few-shot,68.2645
1.0000,1.0000,1.0000,4.0000,0.2143,0.6000,0.3158,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,1.0000,0.7778,0.8750,9.0000,0.8571,1.0000,0.9231,12.0000,0.8889,0.8000,0.8421,40.0000,1.0000,1.0000,1.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.6667,1.0000,0.8000,2.0000,0.8349,0.6934,0.7434,0.7051,109.0000,0.8463,0.8349,0.8332,109.0000,109,custom-data-llama-llama_run3-few-shot,88.3219
0.6667,1.0000,0.8000,4.0000,0.4444,0.8000,0.5714,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,0.5000,1.0000,0.6667,4.0000,1.0000,1.0000,1.0000,9.0000,0.8462,0.9167,0.8800,12.0000,0.9630,0.6500,0.7761,40.0000,0.6667,1.0000,0.8000,2.0000,0.2000,0.2500,0.2222,4.0000,0.6667,1.0000,0.8000,2.0000,0.8073,0.6321,0.7833,0.6833,109.0000,0.8535,0.8073,0.8112,109.0000,109,custom-data-llama-llama_run4-few-shot,65.9441
1.0000,1.0000,1.0000,4.0000,0.2941,1.0000,0.4545,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,0.8333,0.5556,0.6667,9.0000,0.7692,0.8333,0.8000,12.0000,0.9394,0.7750,0.8493,40.0000,1.0000,1.0000,1.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.6667,1.0000,0.8000,2.0000,0.8073,0.6821,0.7422,0.6882,109.0000,0.8450,0.8073,0.8114,109.0000,109,custom-data-llama-llama_run5-few-shot,64.3779
1.0000,1.0000,1.0000,4.0000,0.6000,0.6000,0.6000,5.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,0.8000,0.8889,0.8421,9.0000,0.9167,0.9167,0.9167,12.0000,0.9167,0.8250,0.8684,40.0000,0.6667,1.0000,0.8000,2.0000,0.2000,0.2500,0.2222,4.0000,0.5000,1.0000,0.6667,2.0000,0.8624,0.7818,0.8164,0.7802,109.0000,0.8807,0.8624,0.8667,109.0000,109,custom-data-llama-llama_run6-few-shot,67.0001
1.0000,1.0000,1.0000,4.0000,0.3571,1.0000,0.5263,5.0000,0.2500,0.5000,0.3333,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,0.8571,0.6667,0.7500,9.0000,0.8462,0.9167,0.8800,12.0000,0.9688,0.7750,0.8611,40.0000,1.0000,1.0000,1.0000,2.0000,0.5000,0.2500,0.3333,4.0000,1.0000,1.0000,1.0000,2.0000,0.8440,0.7981,0.8280,0.7895,109.0000,0.8982,0.8440,0.8568,109.0000,109,custom-data-llama-llama_run7-few-shot,70.5703
1.0000,1.0000,1.0000,4.0000,0.2222,0.4000,0.2857,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,0.8889,0.8889,0.8889,9.0000,0.8000,1.0000,0.8889,12.0000,0.8684,0.8250,0.8462,40.0000,1.0000,1.0000,1.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.6667,1.0000,0.8000,2.0000,0.8440,0.6769,0.7376,0.7009,109.0000,0.8237,0.8440,0.8307,109.0000,109,custom-data-llama-llama_run8-few-shot,81.6589
1.0000,1.0000,1.0000,4.0000,0.6000,0.6000,0.6000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,0.8750,0.7778,0.8235,9.0000,0.9231,1.0000,0.9600,12.0000,0.8718,0.8500,0.8608,40.0000,0.6667,1.0000,0.8000,2.0000,0.4000,0.5000,0.4444,4.0000,0.6667,1.0000,0.8000,2.0000,0.8716,0.7276,0.7934,0.7535,109.0000,0.8632,0.8716,0.8655,109.0000,109,custom-data-llama-llama_run9-few-shot,75.1751
1.0000,1.0000,1.0000,4.0000,0.4286,0.6000,0.5000,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,1.0000,0.5556,0.7143,9.0000,0.8000,1.0000,0.8889,12.0000,0.8857,0.7750,0.8267,40.0000,0.5000,1.0000,0.6667,2.0000,0.5000,0.2500,0.3333,4.0000,0.6667,1.0000,0.8000,2.0000,0.8165,0.7074,0.7437,0.7027,109.0000,0.8578,0.8165,0.8250,109.0000,109,custom-data-llama-llama_run10-few-shot,58.9056
