age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time
0.8000,1.0000,0.8889,4.0000,0.2632,1.0000,0.4167,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,0.8000,1.0000,0.8889,4.0000,0.8889,0.8889,0.8889,9.0000,0.8571,1.0000,0.9231,12.0000,0.9500,0.4750,0.6333,40.0000,1.0000,1.0000,1.0000,2.0000,0.3333,0.2500,0.2857,4.0000,0.5000,1.0000,0.6667,2.0000,0.7523,0.6720,0.7831,0.6902,109.0000,0.8563,0.7523,0.7622,109.0000,109,custom-data-llama-llama_run1-zero-shot,12.6528
0.6667,1.0000,0.8000,4.0000,0.1429,0.2000,0.1667,5.0000,0.0000,0.0000,0.0000,2.0000,0.9615,1.0000,0.9804,25.0000,1.0000,1.0000,1.0000,4.0000,0.2500,0.1111,0.1538,9.0000,0.8462,0.9167,0.8800,12.0000,0.8966,0.6500,0.7536,40.0000,1.0000,1.0000,1.0000,2.0000,0.0000,0.0000,0.0000,4.0000,0.2857,1.0000,0.4444,2.0000,0.6972,0.5500,0.6253,0.5617,109.0000,0.7546,0.6972,0.7112,109.0000,109,custom-data-llama-llama_run2-zero-shot,11.0759
1.0000,1.0000,1.0000,4.0000,0.2000,1.0000,0.3333,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,0.6667,0.4444,0.5333,9.0000,0.9091,0.8333,0.8696,12.0000,1.0000,0.3750,0.5455,40.0000,1.0000,1.0000,1.0000,2.0000,0.1667,0.2500,0.2000,4.0000,0.4000,1.0000,0.5714,2.0000,0.6606,0.6675,0.7184,0.6412,109.0000,0.8658,0.6606,0.6942,109.0000,109,custom-data-llama-llama_run3-zero-shot,10.9558
0.6667,0.5000,0.5714,4.0000,0.2941,1.0000,0.4545,5.0000,0.3333,0.5000,0.4000,2.0000,0.9259,1.0000,0.9615,25.0000,0.8000,1.0000,0.8889,4.0000,0.7500,0.6667,0.7059,9.0000,0.9091,0.8333,0.8696,12.0000,0.9091,0.5000,0.6452,40.0000,1.0000,1.0000,1.0000,2.0000,0.5000,0.2500,0.3333,4.0000,0.2222,1.0000,0.3636,2.0000,0.7156,0.6646,0.7500,0.6540,109.0000,0.8222,0.7156,0.7303,109.0000,109,custom-data-llama-llama_run4-zero-shot,14.1357
0.8000,1.0000,0.8889,4.0000,0.2222,0.4000,0.2857,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,0.6000,0.6667,0.6316,9.0000,0.8333,0.8333,0.8333,12.0000,0.9032,0.7000,0.7887,40.0000,0.6667,1.0000,0.8000,2.0000,0.1429,0.2500,0.1818,4.0000,1.0000,1.0000,1.0000,2.0000,0.7706,0.6517,0.7136,0.6736,109.0000,0.8142,0.7706,0.7848,109.0000,109,custom-data-llama-llama_run5-zero-shot,9.3150
0.5000,0.2500,0.3333,4.0000,0.3750,0.6000,0.4615,5.0000,0.3333,0.5000,0.4000,2.0000,0.9259,1.0000,0.9615,25.0000,1.0000,1.0000,1.0000,4.0000,0.6667,0.6667,0.6667,9.0000,0.8462,0.9167,0.8800,12.0000,0.9062,0.7250,0.8056,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,0.2500,1.0000,0.4000,2.0000,0.7798,0.7094,0.7189,0.6644,109.0000,0.8311,0.7798,0.7859,109.0000,109,custom-data-llama-llama_run6-zero-shot,9.1541
0.6667,1.0000,0.8000,4.0000,0.3750,0.6000,0.4615,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.9600,0.9796,25.0000,1.0000,1.0000,1.0000,4.0000,0.8000,0.8889,0.8421,9.0000,0.9231,1.0000,0.9600,12.0000,0.8966,0.6500,0.7536,40.0000,1.0000,1.0000,1.0000,2.0000,0.1429,0.2500,0.1818,4.0000,0.6667,1.0000,0.8000,2.0000,0.7890,0.6792,0.7590,0.7072,109.0000,0.8402,0.7890,0.8034,109.0000,109,custom-data-llama-llama_run7-zero-shot,8.9323
0.8000,1.0000,0.8889,4.0000,0.2857,0.8000,0.4211,5.0000,0.0000,0.0000,0.0000,2.0000,0.9615,1.0000,0.9804,25.0000,1.0000,1.0000,1.0000,4.0000,0.8571,0.6667,0.7500,9.0000,0.9091,0.8333,0.8696,12.0000,0.8750,0.5250,0.6562,40.0000,0.6667,1.0000,0.8000,2.0000,0.0000,0.0000,0.0000,4.0000,0.5000,1.0000,0.6667,2.0000,0.7156,0.6232,0.7114,0.6393,109.0000,0.8131,0.7156,0.7389,109.0000,109,custom-data-llama-llama_run8-zero-shot,12.4060
0.3636,1.0000,0.5333,4.0000,0.1667,0.4000,0.2353,5.0000,0.2000,0.5000,0.2857,2.0000,1.0000,1.0000,1.0000,25.0000,0.5714,1.0000,0.7273,4.0000,0.5714,0.4444,0.5000,9.0000,0.9091,0.8333,0.8696,12.0000,0.8571,0.4500,0.5902,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,0.2857,1.0000,0.4444,2.0000,0.6697,0.6296,0.7162,0.5987,109.0000,0.7971,0.6697,0.6864,109.0000,109,custom-data-llama-llama_run9-zero-shot,10.8107
0.4444,1.0000,0.6154,4.0000,0.2381,1.0000,0.3846,5.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,25.0000,1.0000,1.0000,1.0000,4.0000,0.8889,0.8889,0.8889,9.0000,0.7333,0.9167,0.8148,12.0000,1.0000,0.3750,0.5455,40.0000,1.0000,1.0000,1.0000,2.0000,0.5000,0.2500,0.3333,4.0000,0.2857,1.0000,0.4444,2.0000,0.7064,0.6446,0.7664,0.6388,109.0000,0.8563,0.7064,0.7083,109.0000,109,custom-data-llama-llama_run10-zero-shot,11.0156
