age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,0.2000,1.0000,0.3333,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,1.0000,0.8500,0.9189,20.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.8000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9091,0.8061,0.8500,0.7926,55.0000,0.9552,0.9091,0.9208,55.0000,55,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run1,14.4870
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,0.2000,1.0000,0.3333,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,1.0000,0.8500,0.9189,20.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.8000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9091,0.8061,0.8500,0.7926,55.0000,0.9552,0.9091,0.9208,55.0000,55,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run2,14.4320
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,0.0909,1.0000,0.1667,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,1.0000,0.5500,0.7097,20.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.8000,2.0000,0.0000,0.0000,0.0000,1.0000,0.8000,0.7961,0.8227,0.7585,55.0000,0.9532,0.8000,0.8417,55.0000,55,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run3,26.7282
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,0.2500,1.0000,0.4000,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,1.0000,0.9000,0.9474,20.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.8000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9273,0.8106,0.8545,0.8013,55.0000,0.9561,0.9273,0.9324,55.0000,55,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run4,14.4327
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.8000,0.8889,5.0000,1.0000,1.0000,1.0000,6.0000,1.0000,0.8500,0.9189,20.0000,0.1667,1.0000,0.2857,1.0000,0.6667,1.0000,0.8000,2.0000,0.0000,0.0000,0.0000,1.0000,0.8909,0.8030,0.8318,0.7782,55.0000,0.9545,0.8909,0.9099,55.0000,55,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run5,14.2547
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,0.3333,1.0000,0.5000,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,1.0000,0.9500,0.9744,20.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.8000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9455,0.8182,0.8591,0.8128,55.0000,0.9576,0.9455,0.9440,55.0000,55,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run6,14.6044
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,0.3333,1.0000,0.5000,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,1.0000,0.9500,0.9744,20.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.8000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9455,0.8182,0.8591,0.8128,55.0000,0.9576,0.9455,0.9440,55.0000,55,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run7,14.5116
1.0000,1.0000,1.0000,3.0000,0.5000,0.5000,0.5000,2.0000,0.2500,1.0000,0.4000,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,1.0000,0.8500,0.9189,20.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.8000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9091,0.7652,0.8500,0.7835,55.0000,0.9379,0.9091,0.9160,55.0000,55,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run8,16.3914
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,0.2000,1.0000,0.3333,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,1.0000,0.8500,0.9189,20.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.8000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9091,0.8061,0.8500,0.7926,55.0000,0.9552,0.9091,0.9208,55.0000,55,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run9,14.2819
0.6000,1.0000,0.7500,3.0000,1.0000,0.5000,0.6667,2.0000,0.1429,1.0000,0.2500,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,1.0000,0.6500,0.7879,20.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.8000,2.0000,0.0000,0.0000,0.0000,1.0000,0.8364,0.7645,0.8318,0.7504,55.0000,0.9323,0.8364,0.8580,55.0000,55,custom-data-alpaca-fine-tuned-alpaca-fine-tuned_run10,19.3800
