age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time
1.0000,1.0000,1.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.6667,1.0000,0.8000,2.0000,0.8333,1.0000,0.9091,5.0000,0.8571,1.0000,0.9231,6.0000,0.8636,0.9500,0.9048,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.8727,0.5655,0.6318,0.5943,55.0000,0.7985,0.8727,0.8323,55.0000,55,custom-data-flan-t5-xxl-flan-t5-xxl_run1,14.9004
1.0000,1.0000,1.0000,3.0000,0.5000,0.5000,0.5000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,0.8571,1.0000,0.9231,6.0000,0.9091,1.0000,0.9524,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,1.0000,0.9273,0.7515,0.7727,0.7614,55.0000,0.8786,0.9273,0.9016,55.0000,55,custom-data-flan-t5-xxl-flan-t5-xxl_run2,15.0831
1.0000,1.0000,1.0000,3.0000,0.5000,0.5000,0.5000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,0.8571,1.0000,0.9231,6.0000,0.8696,1.0000,0.9302,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9091,0.6570,0.6818,0.6685,55.0000,0.8461,0.9091,0.8753,55.0000,55,custom-data-flan-t5-xxl-flan-t5-xxl_run3,15.4123
1.0000,1.0000,1.0000,3.0000,0.5000,0.5000,0.5000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.6667,1.0000,0.8000,2.0000,1.0000,1.0000,1.0000,5.0000,0.8571,1.0000,0.9231,6.0000,0.9048,0.9500,0.9268,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,1.0000,0.9091,0.7208,0.7682,0.7409,55.0000,0.8649,0.9091,0.8850,55.0000,55,custom-data-flan-t5-xxl-flan-t5-xxl_run4,14.6005
1.0000,1.0000,1.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.6667,1.0000,0.8000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,0.8182,0.9000,0.8571,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,1.0000,0.8727,0.6804,0.7182,0.6961,55.0000,0.8309,0.8727,0.8499,55.0000,55,custom-data-flan-t5-xxl-flan-t5-xxl_run5,14.7424
1.0000,1.0000,1.0000,3.0000,0.5000,0.5000,0.5000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.6667,1.0000,0.8000,2.0000,0.8333,1.0000,0.9091,5.0000,1.0000,1.0000,1.0000,6.0000,0.8636,0.9500,0.9048,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.8909,0.6240,0.6773,0.6467,55.0000,0.8322,0.8909,0.8589,55.0000,55,custom-data-flan-t5-xxl-flan-t5-xxl_run6,14.9496
1.0000,1.0000,1.0000,3.0000,0.5000,0.5000,0.5000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.6667,1.0000,0.8000,2.0000,0.8333,1.0000,0.9091,5.0000,1.0000,1.0000,1.0000,6.0000,0.8636,0.9500,0.9048,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.8909,0.6240,0.6773,0.6467,55.0000,0.8322,0.8909,0.8589,55.0000,55,custom-data-flan-t5-xxl-flan-t5-xxl_run7,14.9345
1.0000,1.0000,1.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.6667,1.0000,0.8000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,0.7826,0.9000,0.8372,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.8545,0.5863,0.6273,0.6034,55.0000,0.7997,0.8545,0.8244,55.0000,55,custom-data-flan-t5-xxl-flan-t5-xxl_run8,14.9885
1.0000,1.0000,1.0000,3.0000,0.5000,0.5000,0.5000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,0.8571,1.0000,0.9231,6.0000,0.9091,1.0000,0.9524,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,1.0000,0.9273,0.7515,0.7727,0.7614,55.0000,0.8786,0.9273,0.9016,55.0000,55,custom-data-flan-t5-xxl-flan-t5-xxl_run9,14.9738
1.0000,1.0000,1.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,0.8000,1.0000,0.8889,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.8909,0.6182,0.6364,0.6263,55.0000,0.8182,0.8909,0.8505,55.0000,55,custom-data-flan-t5-xxl-flan-t5-xxl_run10,15.5332
