age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.5000,1.0000,0.6667,2.0000,0.3125,1.0000,0.4762,5.0000,1.0000,0.8333,0.9091,6.0000,0.9091,0.5000,0.6452,20.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5000,0.6667,2.0000,0.0000,0.0000,0.0000,1.0000,0.7455,0.7929,0.7576,0.7300,55.0000,0.8681,0.7455,0.7589,55.0000,55,custom-data-flan-ul2-flan-ul2_run1,8.3209
1.0000,1.0000,1.0000,3.0000,0.5000,0.5000,0.5000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.5000,1.0000,0.6667,2.0000,0.3333,1.0000,0.5000,5.0000,1.0000,0.8333,0.9091,6.0000,0.9167,0.5500,0.6875,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7455,0.6591,0.7167,0.6603,55.0000,0.8182,0.7455,0.7461,55.0000,55,custom-data-flan-ul2-flan-ul2_run2,8.3968
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.6667,1.0000,0.8000,2.0000,0.4167,1.0000,0.5882,5.0000,0.8333,0.8333,0.8333,6.0000,0.9231,0.6000,0.7273,20.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.5000,0.4000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7818,0.7430,0.7667,0.7287,55.0000,0.8463,0.7818,0.7858,55.0000,55,custom-data-flan-ul2-flan-ul2_run3,8.0144
1.0000,1.0000,1.0000,3.0000,0.5000,0.5000,0.5000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.6667,1.0000,0.8000,2.0000,0.3571,1.0000,0.5263,5.0000,1.0000,0.8333,0.9091,6.0000,0.9231,0.6000,0.7273,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7636,0.6770,0.7212,0.6784,55.0000,0.8287,0.7636,0.7678,55.0000,55,custom-data-flan-ul2-flan-ul2_run4,8.3730
1.0000,1.0000,1.0000,3.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.6667,1.0000,0.8000,2.0000,0.4167,1.0000,0.5882,5.0000,1.0000,0.8333,0.9091,6.0000,0.9000,0.4500,0.6000,20.0000,1.0000,1.0000,1.0000,1.0000,0.1250,0.5000,0.2000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7091,0.6462,0.7076,0.6452,55.0000,0.8121,0.7091,0.7163,55.0000,55,custom-data-flan-ul2-flan-ul2_run5,7.3963
1.0000,1.0000,1.0000,3.0000,0.5000,0.5000,0.5000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.4000,1.0000,0.5714,2.0000,0.3571,1.0000,0.5263,5.0000,1.0000,0.8333,0.9091,6.0000,0.9167,0.5500,0.6875,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7455,0.6522,0.7167,0.6540,55.0000,0.8167,0.7455,0.7451,55.0000,55,custom-data-flan-ul2-flan-ul2_run6,8.0497
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.5000,1.0000,0.6667,2.0000,0.3846,1.0000,0.5556,5.0000,0.8571,1.0000,0.9231,6.0000,0.9000,0.4500,0.6000,20.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.5000,0.4000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7455,0.7250,0.7682,0.7102,55.0000,0.8315,0.7455,0.7415,55.0000,55,custom-data-flan-ul2-flan-ul2_run7,7.8060
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.6667,1.0000,0.8000,2.0000,0.4545,1.0000,0.6250,5.0000,0.8571,1.0000,0.9231,6.0000,0.9091,0.5000,0.6452,20.0000,1.0000,1.0000,1.0000,1.0000,0.2000,0.5000,0.2857,2.0000,0.0000,0.0000,0.0000,1.0000,0.7636,0.7352,0.7727,0.7223,55.0000,0.8424,0.7636,0.7649,55.0000,55,custom-data-flan-ul2-flan-ul2_run8,7.5398
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.6667,1.0000,0.8000,2.0000,0.3333,1.0000,0.5000,5.0000,1.0000,0.8333,0.9091,6.0000,0.9167,0.5500,0.6875,20.0000,1.0000,1.0000,1.0000,1.0000,0.5000,0.5000,0.5000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7636,0.7652,0.7621,0.7330,55.0000,0.8606,0.7636,0.7752,55.0000,55,custom-data-flan-ul2-flan-ul2_run9,8.1895
1.0000,1.0000,1.0000,3.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.5000,1.0000,0.6667,2.0000,0.3125,1.0000,0.4762,5.0000,1.0000,0.8333,0.9091,6.0000,0.9091,0.5000,0.6452,20.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5000,0.6667,2.0000,0.0000,0.0000,0.0000,1.0000,0.7455,0.7929,0.7576,0.7300,55.0000,0.8681,0.7455,0.7589,55.0000,55,custom-data-flan-ul2-flan-ul2_run10,8.0026
