age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time
1.0000,0.6667,0.8000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9231,1.0000,0.9600,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.8000,0.8889,5.0000,0.8333,0.8333,0.8333,6.0000,1.0000,0.9000,0.9474,20.0000,0.5000,1.0000,0.6667,1.0000,0.0000,0.0000,0.0000,2.0000,0.3333,1.0000,0.5000,1.0000,0.8182,0.5991,0.6545,0.5997,55.0000,0.8529,0.8182,0.8269,55.0000,55,custom-data-llama-llama_run1,74.4575
1.0000,0.6667,0.8000,3.0000,0.2222,1.0000,0.3636,2.0000,1.0000,1.0000,1.0000,1.0000,0.9231,1.0000,0.9600,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,1.0000,0.7000,0.8235,20.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,1.0000,0.8545,0.9223,0.8970,0.8740,55.0000,0.9549,0.8545,0.8809,55.0000,55,custom-data-llama-llama_run2,53.2496
1.0000,0.6667,0.8000,3.0000,0.5000,0.5000,0.5000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.6667,1.0000,0.8000,2.0000,0.8333,1.0000,0.9091,5.0000,0.7500,1.0000,0.8571,6.0000,0.8571,0.9000,0.8780,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.8545,0.6006,0.6424,0.6131,55.0000,0.8026,0.8545,0.8227,55.0000,55,custom-data-llama-llama_run3,48.3562
0.6667,0.6667,0.6667,3.0000,0.0000,0.0000,0.0000,2.0000,0.5000,1.0000,0.6667,1.0000,0.9231,1.0000,0.9600,12.0000,0.5000,1.0000,0.6667,2.0000,1.0000,0.8000,0.8889,5.0000,1.0000,1.0000,1.0000,6.0000,1.0000,0.7500,0.8571,20.0000,1.0000,1.0000,1.0000,1.0000,0.4000,1.0000,0.5714,2.0000,0.5000,1.0000,0.6667,1.0000,0.8364,0.6809,0.8379,0.7222,55.0000,0.8705,0.8364,0.8349,55.0000,55,custom-data-llama-llama_run4,49.4921
1.0000,1.0000,1.0000,3.0000,0.6667,1.0000,0.8000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.6667,1.0000,0.8000,2.0000,1.0000,0.8000,0.8889,5.0000,1.0000,1.0000,1.0000,6.0000,0.9474,0.9000,0.9231,20.0000,0.5000,1.0000,0.6667,1.0000,1.0000,0.5000,0.6667,2.0000,1.0000,1.0000,1.0000,1.0000,0.9273,0.8892,0.9273,0.8859,55.0000,0.9475,0.9273,0.9292,55.0000,55,custom-data-llama-llama_run5,45.0255
1.0000,0.6667,0.8000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9231,1.0000,0.9600,12.0000,1.0000,1.0000,1.0000,2.0000,0.8333,1.0000,0.9091,5.0000,0.8571,1.0000,0.9231,6.0000,0.8947,0.8500,0.8718,20.0000,0.5000,1.0000,0.6667,1.0000,0.0000,0.0000,0.0000,2.0000,0.5000,1.0000,0.6667,1.0000,0.8364,0.5917,0.6833,0.6179,55.0000,0.8051,0.8364,0.8141,55.0000,55,custom-data-llama-llama_run6,42.0290
1.0000,0.6667,0.8000,3.0000,0.5000,1.0000,0.6667,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,0.8333,1.0000,0.9091,5.0000,1.0000,1.0000,1.0000,6.0000,1.0000,0.9000,0.9474,20.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5000,0.6667,2.0000,0.3333,1.0000,0.5000,1.0000,0.9091,0.7879,0.8242,0.7718,55.0000,0.9364,0.9091,0.9102,55.0000,55,custom-data-llama-llama_run7,34.7193
0.7500,1.0000,0.8571,3.0000,0.5000,1.0000,0.6667,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.8000,0.8889,5.0000,1.0000,1.0000,1.0000,6.0000,0.9474,0.9000,0.9231,20.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.5000,1.0000,0.6667,1.0000,0.9091,0.7907,0.8818,0.8184,55.0000,0.9036,0.9091,0.8996,55.0000,55,custom-data-llama-llama_run8,50.0092
1.0000,0.6667,0.8000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.8571,1.0000,0.9231,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,6.0000,0.9000,0.9000,0.9000,20.0000,0.5000,1.0000,0.6667,1.0000,0.0000,0.0000,0.0000,2.0000,0.5000,1.0000,0.6667,1.0000,0.8545,0.6143,0.6879,0.6324,55.0000,0.8234,0.8545,0.8329,55.0000,55,custom-data-llama-llama_run9,52.2351
1.0000,1.0000,1.0000,3.0000,0.3333,0.5000,0.4000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,5.0000,0.8571,1.0000,0.9231,6.0000,1.0000,0.8500,0.9189,20.0000,1.0000,1.0000,1.0000,1.0000,0.5000,0.5000,0.5000,2.0000,0.5000,1.0000,0.6667,1.0000,0.9091,0.8355,0.8955,0.8553,55.0000,0.9329,0.9091,0.9161,55.0000,55,custom-data-llama-llama_run10,53.4251
