age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time,Matching accuracy
0.0000,0.0000,0.0000,3.0000,0.1429,0.5000,0.2222,2.0000,0.0000,0.0000,0.0000,1.0000,0.9231,1.0000,0.9600,12.0000,0.0000,0.0000,0.0000,2.0000,0.4167,1.0000,0.5882,5.0000,1.0000,0.5000,0.6667,6.0000,0.9000,0.9000,0.9000,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7091,0.3075,0.3545,0.3034,55.0000,0.6808,0.7091,0.6710,55.0000,55,llama-label-generation-chain-thoughts-llama_run1,86.6414,0.71
0.0000,0.0000,0.0000,3.0000,0.2500,1.0000,0.4000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9231,1.0000,0.9600,12.0000,0.0000,0.0000,0.0000,2.0000,0.4545,1.0000,0.6250,5.0000,1.0000,0.5000,0.6667,6.0000,0.9000,0.9000,0.9000,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7273,0.3207,0.4000,0.3229,55.0000,0.6882,0.7273,0.6808,55.0000,55,llama-label-generation-chain-thoughts-llama_run2,80.3352,0.73
0.0000,0.0000,0.0000,3.0000,0.2500,1.0000,0.4000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9231,1.0000,0.9600,12.0000,0.0000,0.0000,0.0000,2.0000,0.4545,1.0000,0.6250,5.0000,1.0000,0.5000,0.6667,6.0000,0.9000,0.9000,0.9000,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7273,0.3207,0.4000,0.3229,55.0000,0.6882,0.7273,0.6808,55.0000,55,llama-label-generation-chain-thoughts-llama_run3,80.0680,0.73
0.0000,0.0000,0.0000,3.0000,0.2500,1.0000,0.4000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9231,1.0000,0.9600,12.0000,0.0000,0.0000,0.0000,2.0000,0.4545,1.0000,0.6250,5.0000,1.0000,0.5000,0.6667,6.0000,0.9000,0.9000,0.9000,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7273,0.3207,0.4000,0.3229,55.0000,0.6882,0.7273,0.6808,55.0000,55,llama-label-generation-chain-thoughts-llama_run4,80.2008,0.73
0.0000,0.0000,0.0000,3.0000,0.2500,1.0000,0.4000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9231,1.0000,0.9600,12.0000,0.0000,0.0000,0.0000,2.0000,0.4545,1.0000,0.6250,5.0000,1.0000,0.5000,0.6667,6.0000,0.9000,0.9000,0.9000,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7273,0.3207,0.4000,0.3229,55.0000,0.6882,0.7273,0.6808,55.0000,55,llama-label-generation-chain-thoughts-llama_run5,79.9570,0.73
0.0000,0.0000,0.0000,3.0000,0.2500,1.0000,0.4000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9231,1.0000,0.9600,12.0000,0.0000,0.0000,0.0000,2.0000,0.4545,1.0000,0.6250,5.0000,1.0000,0.5000,0.6667,6.0000,0.9000,0.9000,0.9000,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7273,0.3207,0.4000,0.3229,55.0000,0.6882,0.7273,0.6808,55.0000,55,llama-label-generation-chain-thoughts-llama_run6,80.0920,0.73
0.0000,0.0000,0.0000,3.0000,0.2500,1.0000,0.4000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9231,1.0000,0.9600,12.0000,0.0000,0.0000,0.0000,2.0000,0.4545,1.0000,0.6250,5.0000,1.0000,0.5000,0.6667,6.0000,0.9000,0.9000,0.9000,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7273,0.3207,0.4000,0.3229,55.0000,0.6882,0.7273,0.6808,55.0000,55,llama-label-generation-chain-thoughts-llama_run7,80.1789,0.73
0.0000,0.0000,0.0000,3.0000,0.2500,1.0000,0.4000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9231,1.0000,0.9600,12.0000,0.0000,0.0000,0.0000,2.0000,0.4545,1.0000,0.6250,5.0000,1.0000,0.5000,0.6667,6.0000,0.9000,0.9000,0.9000,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7273,0.3207,0.4000,0.3229,55.0000,0.6882,0.7273,0.6808,55.0000,55,llama-label-generation-chain-thoughts-llama_run8,80.5476,0.73
0.0000,0.0000,0.0000,3.0000,0.2500,1.0000,0.4000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9231,1.0000,0.9600,12.0000,0.0000,0.0000,0.0000,2.0000,0.4545,1.0000,0.6250,5.0000,1.0000,0.5000,0.6667,6.0000,0.9000,0.9000,0.9000,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7273,0.3207,0.4000,0.3229,55.0000,0.6882,0.7273,0.6808,55.0000,55,llama-label-generation-chain-thoughts-llama_run9,81.3534,0.73
0.0000,0.0000,0.0000,3.0000,0.2500,1.0000,0.4000,2.0000,0.0000,0.0000,0.0000,1.0000,0.9231,1.0000,0.9600,12.0000,0.0000,0.0000,0.0000,2.0000,0.4545,1.0000,0.6250,5.0000,1.0000,0.5000,0.6667,6.0000,0.9000,0.9000,0.9000,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.7273,0.3207,0.4000,0.3229,55.0000,0.6882,0.7273,0.6808,55.0000,55,llama-label-generation-chain-thoughts-llama_run10,79.9313,0.73
