age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time,Matching accuracy
1.0000,0.3333,0.5000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.0000,0.0000,0.0000,2.0000,0.3333,1.0000,0.5000,5.0000,0.0000,0.0000,0.0000,6.0000,0.7692,1.0000,0.8696,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.6909,0.2821,0.3030,0.2609,55.0000,0.5828,0.6909,0.6071,55.0000,55,llama-label-generation-few-shot-llama_run1,76.3150,0.69
1.0000,0.3333,0.5000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.0000,0.0000,0.0000,2.0000,0.3333,1.0000,0.5000,5.0000,0.0000,0.0000,0.0000,6.0000,0.7692,1.0000,0.8696,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.6909,0.2821,0.3030,0.2609,55.0000,0.5828,0.6909,0.6071,55.0000,55,llama-label-generation-few-shot-llama_run2,69.7569,0.69
1.0000,0.3333,0.5000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.0000,0.0000,0.0000,2.0000,0.3333,1.0000,0.5000,5.0000,0.0000,0.0000,0.0000,6.0000,0.7692,1.0000,0.8696,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.6909,0.2821,0.3030,0.2609,55.0000,0.5828,0.6909,0.6071,55.0000,55,llama-label-generation-few-shot-llama_run3,69.2665,0.69
1.0000,0.3333,0.5000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.0000,0.0000,0.0000,2.0000,0.3333,1.0000,0.5000,5.0000,0.0000,0.0000,0.0000,6.0000,0.7692,1.0000,0.8696,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.6909,0.2821,0.3030,0.2609,55.0000,0.5828,0.6909,0.6071,55.0000,55,llama-label-generation-few-shot-llama_run4,69.3949,0.69
1.0000,0.3333,0.5000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.0000,0.0000,0.0000,2.0000,0.3333,1.0000,0.5000,5.0000,0.0000,0.0000,0.0000,6.0000,0.7692,1.0000,0.8696,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.6909,0.2821,0.3030,0.2609,55.0000,0.5828,0.6909,0.6071,55.0000,55,llama-label-generation-few-shot-llama_run5,69.5659,0.69
1.0000,0.3333,0.5000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.0000,0.0000,0.0000,2.0000,0.3333,1.0000,0.5000,5.0000,0.0000,0.0000,0.0000,6.0000,0.7692,1.0000,0.8696,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.6909,0.2821,0.3030,0.2609,55.0000,0.5828,0.6909,0.6071,55.0000,55,llama-label-generation-few-shot-llama_run6,69.3627,0.69
1.0000,0.3333,0.5000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.0000,0.0000,0.0000,2.0000,0.3333,1.0000,0.5000,5.0000,0.0000,0.0000,0.0000,6.0000,0.7692,1.0000,0.8696,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.6909,0.2821,0.3030,0.2609,55.0000,0.5828,0.6909,0.6071,55.0000,55,llama-label-generation-few-shot-llama_run7,69.4790,0.69
1.0000,0.3333,0.5000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.0000,0.0000,0.0000,2.0000,0.3333,1.0000,0.5000,5.0000,0.0000,0.0000,0.0000,6.0000,0.7692,1.0000,0.8696,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.6909,0.2821,0.3030,0.2609,55.0000,0.5828,0.6909,0.6071,55.0000,55,llama-label-generation-few-shot-llama_run8,70.0101,0.69
1.0000,0.3333,0.5000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.0000,0.0000,0.0000,2.0000,0.3333,1.0000,0.5000,5.0000,0.0000,0.0000,0.0000,6.0000,0.7692,1.0000,0.8696,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.6909,0.2821,0.3030,0.2609,55.0000,0.5828,0.6909,0.6071,55.0000,55,llama-label-generation-few-shot-llama_run9,69.4613,0.69
1.0000,0.3333,0.5000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,12.0000,0.0000,0.0000,0.0000,2.0000,0.3333,1.0000,0.5000,5.0000,0.0000,0.0000,0.0000,6.0000,0.7692,1.0000,0.8696,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.6909,0.2821,0.3030,0.2609,55.0000,0.5828,0.6909,0.6071,55.0000,55,llama-label-generation-few-shot-llama_run10,69.5777,0.69
