age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time,Matching accuracy
0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.5833,0.7368,12.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,6.0000,0.4318,0.9500,0.5938,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.4727,0.1302,0.1394,0.1210,55.0000,0.3752,0.4727,0.3767,55.0000,55,llama-label-generation-zero-shot-llama_run1.json,79.4285,0.47
0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.5833,0.7368,12.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,6.0000,0.4318,0.9500,0.5938,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.4727,0.1302,0.1394,0.1210,55.0000,0.3752,0.4727,0.3767,55.0000,55,llama-label-generation-zero-shot-llama_run2.json,78.5621,0.47
0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.5833,0.7368,12.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,6.0000,0.4318,0.9500,0.5938,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.4727,0.1302,0.1394,0.1210,55.0000,0.3752,0.4727,0.3767,55.0000,55,llama-label-generation-zero-shot-llama_run3.json,78.0124,0.47
0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.5833,0.7368,12.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,6.0000,0.4318,0.9500,0.5938,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.4727,0.1302,0.1394,0.1210,55.0000,0.3752,0.4727,0.3767,55.0000,55,llama-label-generation-zero-shot-llama_run4.json,78.4589,0.47
0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.5833,0.7368,12.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,6.0000,0.4318,0.9500,0.5938,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.4727,0.1302,0.1394,0.1210,55.0000,0.3752,0.4727,0.3767,55.0000,55,llama-label-generation-zero-shot-llama_run5.json,79.2674,0.47
0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.5833,0.7368,12.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,6.0000,0.4318,0.9500,0.5938,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.4727,0.1302,0.1394,0.1210,55.0000,0.3752,0.4727,0.3767,55.0000,55,llama-label-generation-zero-shot-llama_run6.json,78.5321,0.47
0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.5833,0.7368,12.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,6.0000,0.4318,0.9500,0.5938,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.4727,0.1302,0.1394,0.1210,55.0000,0.3752,0.4727,0.3767,55.0000,55,llama-label-generation-zero-shot-llama_run7.json,78.7868,0.47
0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.5833,0.7368,12.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,6.0000,0.4318,0.9500,0.5938,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.4727,0.1302,0.1394,0.1210,55.0000,0.3752,0.4727,0.3767,55.0000,55,llama-label-generation-zero-shot-llama_run8.json,78.6516,0.47
0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.5833,0.7368,12.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,6.0000,0.4318,0.9500,0.5938,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.4727,0.1302,0.1394,0.1210,55.0000,0.3752,0.4727,0.3767,55.0000,55,llama-label-generation-zero-shot-llama_run9.json,78.4677,0.47
0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.5833,0.7368,12.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,6.0000,0.4318,0.9500,0.5938,20.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.4727,0.1302,0.1394,0.1210,55.0000,0.3752,0.4727,0.3767,55.0000,55,llama-label-generation-zero-shot-llama_run10.json,78.5784,0.47
